code,id,tree,tree position,tree id,tree position,row,Cultivar number ,Site,block,Cultivar,planting date,A1,B1,C1,D1,E1,A2,B2,C2,D2,E2,A3,B3,C3,D3,E3,A4,B4,C4,D4,E4,Heath,comments,,,,,,,,,
HMA32,A3-2,tree 2,8,A3-2-8,8,3,2,Avalon,3,Golden Delicious,Dec,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3,18,17,0,0,0,0,,,,,,,,
HMA33,A3-3,tree 1,97,A3-3-97,97,3,3,Avalon,3,Grenadier,Dec,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,,,,,,,,
HMA33,A3-3,tree 2,98,A3-3-98,98,3,3,Avalon,3,Grenadier,Dec,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,2,0,8,5,0,0,0,0,,,,,,,,
HMA34,A3-4,tree 1,85,A3-4-85,85,3,4,Avalon,3,Gala,Dec,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,5,13,14,5,0,0,0,,,,,,,,
HMA34,A3-4,tree 2,88,A3-4-88,88,3,4,Avalon,3,Gala,Dec,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,1,7,16,10,0,0,0,0,,,,,,,,
HMA35,A3-5,tree 1,65,A3-5-65,65,3,5,Avalon,3,Braeburn,Dec,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,9,11,3,0,0,0,0,,,,,,,,
HMA35,A3-5,tree 2,69,A3-5-69,69,3,5,Avalon,3,Braeburn,Dec,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,8,9,0,0,0,0,,,,,,,,
HMA36,A3-6,tree 1,35,A3-6-35,35,3,6,Avalon,3,Jazz,Dec,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,16,32,17,0,0,0,0,,,,,,,,
HMA36,A3-6,tree 2,36,A3-6-36,36,3,6,Avalon,3,Jazz,Dec,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,13,8,0,0,0,0,,,,,,,,
HMA37,A3-7,tree 1,55,A3-7-55,55,3,7,Avalon,3,Kanzi,Dec,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,8,4,0,0,0,0,,,,,,,,
HMA37,A3-7,tree 2,56,A3-7-56,56,3,7,Avalon,3,Kanzi,Dec,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,12,55,15,0,0,0,0,,,,,,,,
HMA38,A3-8,tree 1,17,A3-8-17,17,3,8,Avalon,3,Rubens,Dec,0,0,0,0,0,0,1,1,0,0,0,4,3,0,0,0,14,22,15,0,0,0,0,,,,,,,,
HMA38,A3-8,tree 2,21,A3-8-21,21,3,8,Avalon,3,Rubens,Dec,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,5,0,0,0,0,,,,,,,,
HMA52,A5-2,tree 1,109,A5-2-109,109,5,2,Avalon,5,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,
HMA52,A5-2,tree 2,110,A5-2-110,110,5,2,Avalon,5,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,6,1,0,0,0,,,,,,,,
HMA53,A5-3,tree 1,85,A5-3-85,85,5,3,Avalon,5,Grenadier,April,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,10,2,1,0,0,0,,,,,,,,
HMA53,A5-3,tree 2,86,A5-3-86,86,5,3,Avalon,5,Grenadier,April,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,,,,,,,,
HMA54,A5-4,tree 1,49,A5-4-49,49,5,4,Avalon,5,Gala,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
HMA54,A5-4,tree 2,52,A5-4-52,52,5,4,Avalon,5,Gala,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,
HMA55,A5-5,tree 1,71,A5-5-71,71,5,5,Avalon,5,Braeburn,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
HMA55,A5-5,tree 2,77,A5-5-77,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMA56,A5-6,tree 1,75,A5-6-75,75,5,6,Avalon,5,Jazz,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
HMA56,A5-6,tree 2,78,A5-6-78,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMA57,A5-7,tree 1,61,A5-7-61,61,5,7,Avalon,5,Kanzi,April,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,,,,,,,,
HMA57,A5-7,tree 2,62,A5-7-62,62,5,7,Avalon,5,Kanzi,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
HMA58,A5-8,tree 1,35,A5-8-35,35,5,8,Avalon,5,Rubens,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,
HMA58,A5-8,tree 2,36,A5-8-36,36,5,8,Avalon,5,Rubens,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,,,,,,,
HMS12,S1-2,tree 1,107,S1-2-107,107,5,2,Scripps,1,Golden Delicious,Dec,0,1,0,0,0,1,2,2,0,0,0,7,4,0,0,1,10,10,1,0,1,almost dead,0,,,,,,,,
HMS12,S1-2,tree 2,108,S1-2-108,108,5,2,Scripps,1,Golden Delicious,Dec,0,0,0,0,0,0,1,4,0,0,0,5,3,3,0,0,8,12,3,0,1,almost dead,0,,,,,,,,
HMS13,S1-3,tree 1,151,S1-3-151,151,5,3,Scripps,1,Grenadier,Dec,0,0,0,0,0,0,1,5,4,0,0,6,8,5,1,0,6,17,14,4,1,almost dead,previously shown as variety 5,,,,,,,,
HMS13,S1-3,tree 2,152,S1-3-152,152,5,3,Scripps,1,Grenadier,Dec,0,0,0,0,0,0,2,6,3,2,0,2,12,2,0,0,4,17,9,0,1,almost dead,0,,,,,,,,
HMS14,S1-4,tree 1,140,S1-4-140,140,5,4,Scripps,1,Gala,Dec,0,0,0,0,0,0,1,8,2,0,0,7,5,1,0,0,9,14,10,0,1,almost dead,0,,,,,,,,
HMS14,S1-4,tree 2,142,S1-4-142,142,5,4,Scripps,1,Gala,Dec,0,0,0,0,0,0,1,7,1,0,0,8,6,0,0,0,7,12,0,0,1,almost dead,0,,,,,,,,
HMS15,S1-5,tree 1,128,S1-5-128,128,5,5,Scripps,1,Braeburn,Dec,0,1,0,0,0,0,1,0,0,0,0,3,2,0,0,0,1,2,1,1,1,almost dead,0,,,,,,,,
HMS15,S1-5,tree 2,131,S1-5-131,131,5,5,Scripps,1,Braeburn,Dec,0,0,0,0,0,0,1,4,0,0,0,1,3,0,0,0,6,19,5,0,1,almost dead,0,,,,,,,,
HMS16,S1-6,tree 1,163,S1-6-163,163,5,6,Scripps,1,Jazz,Dec,0,0,0,0,0,0,1,9,2,0,0,4,8,4,0,0,9,19,14,0,1,almost dead,0,,,,,,,,
HMS16,S1-6,tree 2,167,S1-6-167,167,5,6,Scripps,1,Jazz,Dec,0,0,0,0,0,0,2,8,0,0,0,5,11,4,0,0,4,15,1,0,1,almost dead,0,,,,,,,,
HMS18,S1-8,tree 1,91,S1-8-91,91,5,8,Scripps,1,Rubens,Dec,0,0,0,0,0,0,1,5,0,0,0,4,2,0,0,0,7,11,5,0,1,almost dead,0,,,,,,,,
HMS18,S1-8,tree 2,92,S1-8-92,92,5,8,Scripps,1,Rubens,Dec,0,0,0,0,0,0,0,5,0,0,0,2,4,0,0,0,8,10,9,0,1,almost dead,0,,,,,,,,
HMS22,S2-2,tree 1,58,S2-2-58,58,17,2,Scripps,2,Golden Delicious,Dec,0,0,0,0,0,0,2,11,0,0,0,3,8,0,0,0,4,8,0,0,1,almost dead,0,,,,,,,,
HMS22,S2-2,tree 2,59,S2-2-59,59,17,2,Scripps,2,Golden Delicious,Dec,0,0,0,0,0,0,1,8,0,0,0,4,6,1,0,0,10,14,3,0,1,almost dead,0,,,,,,,,
HMS23,S2-3,tree 1,43,S2-3-43,43,17,3,Scripps,2,Grenadier,Dec,0,0,0,0,0,0,3,7,0,0,0,8,5,0,0,0,13,41,11,0,1,almost dead,0,,,,,,,,
