ID,tree position,row,Cultivar number ,Site,block,Cultivar,planting date,A1,B1,C1,D1,E1,A2,B2,C2,D2,E2,A3,B3,C3,D3,E3,A4,B4,C4,D4,E4,Heath,comments
A1-4-41,41,1,4,Avalon,1,Gala,April,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,nearly dead
A1-4-42,42,1,4,Avalon,1,Gala,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,nearly dead
A1-4-43,43,1,4,Avalon,1,Gala,April,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,4,2,7,0,1,nearly dead
A1-4-44,44,1,4,Avalon,1,Gala,April,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,15,10,0,1,nearly dead
A1-4-45,45,1,4,Avalon,1,Gala,April,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,10,0,0,1,nearly dead
A1-4-46,46,1,4,Avalon,1,Gala,April,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,10,11,0,0,1,nearly dead
A1-4-47,47,1,4,Avalon,1,Gala,April,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,19,27,5,0,1,nearly dead
A1-4-48,48,1,4,Avalon,1,Gala,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,1,nearly dead
A1-5-49,49,1,5,Avalon,1,Braeburn,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,nearly dead
A1-5-50,50,1,5,Avalon,1,Braeburn,Dec,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,nearly dead
A1-5-51,51,1,5,Avalon,1,Braeburn,Dec,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,nearly dead
A1-5-52,52,1,5,Avalon,1,Braeburn,Dec,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,nearly dead
A1-5-53,53,1,5,Avalon,1,Braeburn,Dec,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,3,8,1,0,1,nearly dead
A1-5-54,54,1,5,Avalon,1,Braeburn,Dec,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,1,0,1,nearly dead
A1-5-55,55,1,5,Avalon,1,Braeburn,Dec,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,5,3,0,0,1,nearly dead
A1-5-56,56,1,5,Avalon,1,Braeburn,Dec,0,0,0,0,0,0,1,2,0,0,0,3,1,0,0,0,4,6,2,0,1,nearly dead
A1-5-57,57,1,5,Avalon,1,Braeburn,April,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,8,2,5,0,1,nearly dead
