Well,Target,Content,Replicate,Sample,Dilution,Cq,PlateID,Concentration,Efficiency,TCN,CqAdjusted,AdjustedTCN,mg,TCN_mg,AdjustedTCN_mg
C18,16S,Unkn,75,S1-4,200,16.0091137682976,plate 2,0.005,1.9300628928765668,1.122397700018112e8,15.187011513681018,1.989153364265223e8,143.3,3.916251570195785e7,6.940521159334344e7
D07,ITS,Unkn,36,S3-8,100,21.0373997557173,plate 2,0.01,1.9657716088178145,2.661313496815762e7,20.5134783219094,1.4407058670531854e7,178.8,7.442151836733114e6,4.028819538739332e6
D08,ITS,Unkn,36,S3-8,100,21.0356113780056,plate 2,0.01,1.9657716088178145,2.6643932681004837e7,20.511734482468864,1.4424483549979407e7,178.8,7.450764172540502e6,4.0336922678913325e6
D09,ITS,Unkn,36,S3-8,100,21.1680697475883,plate 2,0.01,1.9657716088178145,2.4456568390231688e7,20.640894070846784,1.3189227590757877e7,178.8,6.839085120310874e6,3.6882627490933654e6
D10,ITS,Unkn,48,S3-8,200,22.1576690578205,plate 2,0.005,1.9657716088178145,2.5791852553861838e7,21.60584811619204,1.351354356327705e7,178.8,7.212486732064271e6,3.7789551351445885e6
D11,ITS,Unkn,48,S3-8,200,22.1168658039803,plate 2,0.005,1.9657716088178145,2.648150777915152e7,21.566061038281575,1.3891410650688037e7,178.8,7.4053433386889035e6,3.8846226651812177e6
D12,ITS,Unkn,48,S3-8,200,22.0431670721063,plate 2,0.005,1.9657716088178145,2.7774230871689238e7,21.49419772075163,1.4600891175451113e7,178.8,7.7668430849242825e6,4.0830232593543376e6
D19,16S,Unkn,92,S3-8,100,15.6904167756069,plate 2,0.01,1.933307846707816,7.005818293392691e7,14.922706346910095,1.1954673554125729e8,178.8,1.9591214466981795e7,3.343029517372966e7
D20,16S,Unkn,92,S3-8,100,15.7230453952693,plate 2,0.01,1.933307846707816,6.848496493748017e7,14.95373849326353,1.1699214507416873e8,178.8,1.9151276548512347e7,3.2715924237742927e7
D21,16S,Unkn,92,S3-8,100,15.7318094230504,plate 2,0.01,1.933307846707816,6.806845171719706e7,14.962073709266003,1.1631533296439527e8,178.8,1.903480193433922e7,3.2526659106374513e7
D22,16S,Unkn,104,S3-8,200,16.6780820505958,plate 2,0.005,1.933307846707816,7.045594840490608e7,15.862046523686853,1.2433837699153146e8,178.8,1.97024464219536e7,3.477023965087568e7
D23,16S,Unkn,104,S3-8,200,16.8071291991302,plate 2,0.005,1.933307846707816,6.4403091353045985e7,15.984779573421946,1.14157117678484e8,178.8,1.800981301818959e7,3.1923131341857936e7
D24,16S,Unkn,104,S3-8,200,16.8143977165608,plate 2,0.005,1.933307846707816,6.407807276914753e7,15.991692452330485,1.1360912936290585e8,178.8,1.7918924152446173e7,3.1769890761438992e7
F07,ITS,Unkn,38,S5-3,100,20.4581050136251,plate 2,0.01,1.9208356175467722,3.870786045625513e7,19.266094303420314,3.420387656248293e7,157.4,1.2296016663359316e7,1.0865272097357983e7
F08,ITS,Unkn,38,S5-3,100,20.4504029854589,plate 2,0.01,1.9208356175467722,3.8901145540266424e7,19.258841041161723,3.437627223276461e7,157.4,1.2357415991190096e7,1.0920035652085327e7
F09,ITS,Unkn,38,S5-3,100,20.4420849679311,plate 2,0.01,1.9208356175467722,3.911097326534895e7,19.251007680740443,3.456343175248936e7,157.4,1.2424070287594965e7,1.0979489120867012e7
F10,ITS,Unkn,50,S5-3,200,21.4770792775905,plate 2,0.005,1.9208356175467722,4.005307033365096e7,20.225697074509867,3.517516214820392e7,157.4,1.272333873368836e7,1.1173812626494255e7
F11,ITS,Unkn,50,S5-3,200,21.5279154667618,plate 2,0.005,1.9208356175467722,3.87576779546822e7,20.273571245355527,3.4027069384013414e7,157.4,1.231184178992446e7,1.0809107174083041e7
