Target,Sample,N,Efficiency,MeanTCN,MeanAdjustedTCN,MeanAdjustedTCN_mg,StdTCN,StdAdjustedTCN,StdAdjustedTCN_mg,MedTCN,MedAdjustedTCN,MedAdjustedTCN_mg
ITS,A5-3,6,1.9041396259270869,3.742776453812017e7,3.973970477130333e7,1.2631819698443525e7,1.5277688745750599e6,1.6016111106849092e6,509094.4407771487,3.688182245324452e7,3.929645714614434e7,1.2490927255608497e7
16S,A1-8,6,1.9535691140967326,3.1468398125697628e7,4.811793006035405e7,1.829579089747302e7,2.2380178350247615e6,2.759030675421126e6,1.0490610933160177e6,3.1800157598018423e7,4.733352100478611e7,1.7997536503720954e7
16S,A5-3,6,2.008579130280457,3.615165102925766e7,3.615165102925766e7,1.1491306748015784e7,835053.4107424632,835053.4107424632,265433.3791298357,3.6304158446630016e7,3.6304158446630016e7,1.1539783358750798e7
ITS,A5-4,6,1.827335800965393,6.264989037059721e7,1.5804297155974638e8,5.747017147627141e7,4.032080174880284e6,818319.9179883876,297570.8792685072,6.2608311946955025e7,1.583538884458648e8,5.758323216213265e7
16S,A5-4,6,2.0784298549106084,3.380254993422452e7,3.380254993422452e7,1.2291836339718007e7,1.4471090265857552e6,1.4471090265857552e6,526221.464213002,3.3331349910171695e7,3.3331349910171695e7,1.212049087642607e7
ITS,A2-3,6,1.87807061640136,7.590257588036567e7,1.0702984797393362e8,3.608558596558786e7,2.832676045357394e6,3.1157609848745223e6,1.050492577503212e6,7.612290767682588e7,1.0811986106802398e8,3.645308869454618e7
ITS,A5-5,6,1.923264934896761,2.13758704789569e7,1.811891957362874e7,6.990323909578989e6,848556.4410715039,704921.2090003515,271960.34297853074,2.119612498033172e7,1.796416527917482e7,6.930619320669298e6
16S,A2-3,6,1.9668922023156514,5.922152872960415e7,7.888147416937144e7,2.6595237413813695e7,2.6836581489618192e6,2.5790428516613645e6,869535.6883551468,6.007799914509513e7,7.899909181350008e7,2.6634892722016208e7
16S,A5-5,6,1.9803823510413208,4.4434332338338755e7,5.284796720197815e7,2.0388876235331073e7,2.121751013903706e6,2.2328789881668733e6,861450.2269162314,4.450623929351681e7,5.2976019781559736e7,2.0438279236712858e7
ITS,A2-5,5,1.8525189960992803,3.0240217446955226e7,5.872804595040152e7,2.0899660480569933e7,1.7874623274074048e6,2.306838960836651e6,820939.1319703383,3.0050245041214656e7,5.8278099936394e7,2.0739537343912456e7
ITS,A5-7,6,1.8725277851763718,5.131296900062296e7,7.785101384126656e7,2.7548129455508336e7,2.7217370321214474e6,3.382045024709679e6,1.1967604475264258e6,5.098603489027041e7,7.738736276625657e7,2.7384063257698715e7
16S,A2-5,6,1.88493022064705,3.0557535885232013e7,8.928386540148824e7,3.1773617580600798e7,3.1424103119533393e6,3.6199073162959917e6,1.2882232442334497e6,3.071175910837198e7,8.946251679689768e7,3.18371945896433e7
16S,A5-7,6,2.064097103638783,3.5616219317547075e7,3.5616219317547075e7,1.2603050006209156e7,1.2673814018848222e6,1.2673814018848222e6,448471.83364643407,3.51716385895058e7,3.51716385895058e7,1.2445731984963126e7
ITS,A2-6,6,1.9154041675240685,4.456095822618981e7,4.161430715791387e7,1.3955166719622359e7,2.255347286299591e6,2.1147277572913053e6,709164.237857581,4.392761009254749e7,4.101678854518928e7,1.3754791597984334e7
ITS,A5-8,6,1.914142263990165,7.04323362641147e7,6.6837894900037594e7,2.3451892947381612e7,3.580937651551048e6,3.40680486818056e6,1.1953701291861623e6,7.100344809154512e7,6.7379540431103e7,2.3641944010913335e7
16S,A2-6,6,1.9359088943953033,4.7737950612188734e7,8.432453649846815e7,2.8277845908272356e7,4.211030715562297e6,5.33400050254258e6,1.7887325628915427e6,4.569925706165639e7,8.409732228170177e7,2.8201650664554585e7
16S,A5-8,6,1.9632651172730602,4.9340935751645386e7,6.816490511944753e7,2.39175105682272e7,3.1699118700882345e6,3.547603060976839e6,1.2447730038515234e6,4.878239200388661e7,6.718551292502455e7,2.3573864184219144e7
ITS,A2-7,6,1.92954527656658,3.847662763997446e7,3.057002254110509e7,1.1140678768624306e7,1.5311220518518444e6,1.1578816981390296e6,421968.54888448573,3.8105308295137085e7,3.0178740469060555e7,1.0998083261319445e7
