Target,Sample,N,Efficiency,MeanTCN,MeanAdjustedTCN,MeanAdjustedTCN_mg,StdTCN,StdAdjustedTCN,StdAdjustedTCN_mg,MedTCN,MedAdjustedTCN,MedAdjustedTCN_mg
ITS,S1-3,5,1.8538162126084392,5.1188646204443246e7,8.772350668532908e7,2.933896544659835e7,4.511380412057829e6,7.200023160936685e6,2.408034501985513e6,5.233276363975124e7,8.670137801761541e7,2.8997116393851306e7
ITS,A1-4,6,2.0010195211587827,1.2125759792020883e8,3.570137280552874e7,1.2310818208803015e7,9.379482333374016e6,1.308711361452129e6,451279.779811079,1.1997315099033573e8,3.558729055361219e7,1.2271479501245582e7
16S,S1-3,6,1.9052921791828383,1.1600401918116568e8,2.42002076145074e8,8.093714921239932e7,7.8330340880324235e6,9.048611355978234e6,3.026291423404091e6,1.176489245774742e8,2.3944243547056466e8,8.008108209717882e7
16S,A1-4,6,1.948961568192016,5.8712557391061015e7,8.282324384755474e7,2.85597392577775e7,3.1877189374270313e6,4.062273580251174e6,1.4007839931900597e6,5.958680597298427e7,8.33743314270061e7,2.8749769457588315e7
ITS,S1-5,6,1.8401197954785051,4.460914727601637e7,9.140869336388244e7,2.9055528723420992e7,4.648991512823669e6,8.062095263264314e6,2.5626494797407226e6,4.391420202766608e7,9.018862014835922e7,2.8667711426687606e7
ITS,A1-5,6,1.882561789170184,1.0261464652018368e8,1.1991423430643594e8,4.195739478881594e7,5.37160277783261e6,6.17637200981323e6,2.1610818788709706e6,1.0465160815877458e8,1.2140339916114135e8,4.247844617254771e7
16S,S1-5,6,1.8958023296504134,1.1687007890648018e8,2.666541457918407e8,8.475974119257493e7,7.919581404382812e6,6.585507991777671e6,2.093295610863847e6,1.174094880031302e8,2.6779800800394687e8,8.512333375840649e7
16S,A1-5,6,1.9658766284688183,3.8543039546425715e7,4.6375352528203815e7,1.6226505433241362e7,674902.3391793027,582180.4620366647,203702.0510975036,3.892691083021997e7,4.6342857216004e7,1.6215135484955912e7
ITS,S1-6,6,1.825009442003766,3.844272011576419e7,9.703117555937473e7,2.9564648250875905e7,4.1423347331585e6,7.992918759194368e6,2.4353804872621475e6,3.728073410117441e7,9.513774879158977e7,2.8987735768308885e7
ITS,A1-6,6,1.9437061204098907,4.9421833775335056e8,2.9465939971451e8,9.133893357548358e7,2.1396619224536575e7,8.835818229776582e6,2.7389393148718467e6,5.044375694645765e8,2.9364749509887373e8,9.102526196493295e7
16S,S1-6,6,1.8984456657449862,1.0428851493722193e8,2.337529001956285e8,7.122269963303731e7,7.353481609747176e6,7.272300447824909e6,2.2158136647851625e6,1.029050205721131e8,2.3237278601598805e8,7.080218952345768e7
16S,A1-6,6,1.918985199145552,5.637766248268642e7,1.0707128734596379e8,3.3190107670788523e7,2.633342457489666e6,1.1234974619497021e6,348263.3174053629,5.630327875388239e7,1.0680400348077711e8,3.3107254643762276e7
ITS,S1-8,6,1.8020502637495408,2.2669695700765774e7,8.130101425464298e7,3.0587289034854386e7,2.105767328762702e6,4.1252166761735813e6,1.5520002543918658e6,2.2914320923408594e7,8.050521023499355e7,3.02878894789291e7
ITS,A2-2,6,1.8557002964325051,9.484472294752105e7,1.5455274880635318e8,5.881002618202176e7,4.211745651347875e6,5.048850730533335e6,1.92117607706748e6,9.679383224896914e7,1.5380465744382828e8,5.852536432413557e7
16S,S1-8,6,1.959070439729108,7.298125741972607e7,9.289879105867553e7,3.495063621470111e7,3.3814086511024903e6,4.0163625719817984e6,1.5110468668103076e6,7.368672752463394e7,9.252694965512577e7,3.4810741029016465e7
16S,A2-2,6,1.9613101415975949,3.6717120495320745e7,4.6287023266848005e7,1.7613022552073058e7,1.1461839157577641e6,1.2552164825182278e6,477631.8426629475,3.701917370065912e7,4.673774104592963e7,1.7784528556289814e7
ITS,S2-2,6,1.8635149704090486,4.178750821914432e7,6.3159404835591264e7,2.5653698146056574e7,1.9260764053828893e6,2.411983673471161e6,979684.6764708222,4.173472091894409e7,6.373013827754716e7,2.588551514116457e7
ITS,A2-4,6,1.8839978646980748,8.66228630065079e7,9.962791717081095e7,3.2034700054923136e7,2.5753790686765164e6,2.824108880988916e6,908073.5951732858,8.739197436974213e7,1.0050995595924944e8,3.2318313813263483e7
16S,S2-2,6,1.9144153673022395,1.0590282337008224e8,2.0365865748177442e8,8.27208194483243e7,5.322795907808981e6,2.3001109711535536e6,934244.911110297,1.0583104002218243e8,2.0264228948924947e8,8.230799735550344e7
16S,A2-4,6,2.0050575104457473,4.00786348736741e7,3.436776641059593e7,1.105072874938776e7,1.2468088786305997e6,977296.2764947017,314243.17572176916,3.992428288157497e7,3.431174019761366e7,1.103271388990793e7
ITS,S2-4,6,1.8193754227595824,3.1148103800510854e7,8.596334716583648e7,2.4645455036076974e7,2.362312271466143e6,3.9241839580868627e6,1.1250527402771967e6,3.1637463031804204e7,8.6087057155292e7,2.468092234956766e7
ITS,A5-6,6,1.9766375511877867,3.2919881293179303e7,1.1629480880444154e7,4.518057840110394e6,3.184344960076453e6,941057.0249566813,365601.01979669067,3.2329419260886103e7,1.1366701014873259e7,4.415967760246021e6
16S,S2-4,6,1.9594789127881886,6.695219425978118e7,8.502611410635006e7,2.437675289746275e7,2.9401067469196008e6,3.3905965750190504e6,972074.7061407822,6.762440312345023e7,8.678685436822766e7,2.488155228446894e7
16S,A5-6,6,1.9031147019715793,3.1304360027965907e7,7.221737400510938e7,2.8056477857462857e7,2.0449445066134871e6,2.2822743202594644e6,886664.460085261,3.2009190411594596e7,7.161128336031042e7,2.782101140649201e7
ITS,S2-5,6,1.8055253915873142,5.1740587496014215e7,1.660182371127595e8,5.024765045785699e7,4.1310557947891657e6,5.285599301260078e6,1.5997576577663673e6,5.229068161631044e7,1.6341149592998016e8,4.9458685208831765e7
ITS,W1-3,6,1.9445756627940614,6.19588253111788e7,3.3678929847152255e7,1.2893924137500862e7,2.625857806903572e6,869754.6035264102,332984.1514266506,6.199782389179282e7,3.326979370242435e7,1.2737287022367667e7
16S,S2-5,6,1.9797972080425212,1.5470435066919112e8,1.6121990428404927e8,4.879537054601976e7,2.762114171871224e6,2.8210544690967677e6,853830.0451261397,1.5489307343187648e8,1.6169904966761458e8,4.894039033523445e7
16S,W1-3,6,1.9686130850975663,7.266704572104764e7,8.444343897968571e7,3.232903483142638e7,1.5552481767000344e6,1.5803277188493428e6,605025.9260525816,7.306755888023248e7,8.411351230390352e7,3.2202722934113137e7
ITS,S2-6,6,1.8136149291068893,5.056317344370941e7,1.4598740267784512e8,4.4211811834598765e7,4.358759005615236e6,8.234263115889583e6,2.493719901844208e6,5.219750415653451e7,1.440491616457842e8,4.362482181883229e7
ITS,W1-5,6,1.8507648395076297,4.530425212474933e7,8.069061990817665e7,2.79787170278005e7,2.0668767087084514e6,2.295055312343469e6,795788.9432536297,4.479706141505457e7,8.07293408926382e7,2.79921431666568e7
16S,S2-6,6,2.059829255689847,1.5506007780711094e8,1.3499958370283544e8,4.088418646360854e7,9.167105897749871e6,7.134431197223369e6,2.1606393692378467e6,1.5756290368693393e8,1.37233784288638e8,4.156080687118049e7
16S,W1-5,6,1.8740236368332108,5.529989805992889e7,1.653818850630443e8,5.734462034086141e7,4.594058192310285e6,3.6394861152819577e6,1.2619577376151043e6,5.581195233148965e7,1.660165452035564e8,5.75646828028975e7
ITS,S3-2,6,1.8509854249578377,3.0318405787925664e7,5.464993496324003e7,1.4964385258280402e7,3.376399542386525e6,5.832696094077303e6,1.597123793558955e6,3.133943641645884e7,5.513166899042077e7,1.509629490427732e7
ITS,W1-8,6,1.8422924706840493,3.108257985691874e7,6.290976777494434e7,2.584624805872816e7,2.4778032097684303e6,4.3538028353203535e6,1.78874397506999e6,3.1917683522917222e7,6.317408449323234e7,2.5954841615954123e7
16S,S3-2,6,1.9158997978050831,5.4121071072011404e7,1.0619570797211449e8,2.9078780934313934e7,5.029739015386363e6,7.613811710813188e6,2.0848334366958337e6,5.226595116329387e7,1.0420051366036843e8,2.8532451714230128e7
16S,W1-8,6,1.921269143102351,3.45025139987643e7,6.555574005571266e7,2.69333360951983e7,1.7348695916042323e6,1.628289779289595e6,668976.901926702,3.4883528363002054e7,6.540120342848128e7,2.6869845286968477e7
ITS,S3-3,6,1.8811594337429824,1.483510804840812e7,1.8041411708052248e7,5.241549014541618e6,1.2777386042185838e6,1.5460099505768775e6,449160.3575179771,1.5040460194332821e7,1.8116678731397547e7,5.263416249679705e6
ITS,W3-2,6,1.8545779054460987,5.286331371230649e7,8.910573281068638e7,3.365020121249486e7,4.259520897866761e6,6.607082111943683e6,2.4951216434832634e6,5.2973338416621655e7,8.745921306805131e7,3.3028403726605475e7
16S,S3-3,6,1.9194678390754454,2.937074317982988e7,5.7298926101200394e7,1.664698608402103e7,1.4680426279456408e6,1.254558808701524e6,364485.4179841732,2.9527967926466845e7,5.761301734840405e7,1.6738238625335284e7
16S,W3-2,6,2.014651809975819,6.0620148543721415e7,5.222684150007638e7,1.9723127454711627e7,3.501235954790836e6,2.94715096345741e6,1.112972418224098e6,6.111820016436085e7,5.267084233091071e7,1.9890801484482896e7
ITS,S3-4,6,1.8371068042961496,4.705939950823188e7,1.000910169285198e8,2.6834052795849815e7,2.704446964977781e6,3.1976052111412543e6,857266.8126384052,4.590783625042199e7,1.0052393337035906e8,2.695011618508286e7
ITS,W3-6,6,1.8159502594785735,2.5242009575040895e7,7.402812357076861e7,2.7830121643146086e7,1.6366254270404556e6,962329.1234026916,361777.8659408611,2.5173286989411816e7,7.364818146837759e7,2.768728626630736e7
16S,S3-4,6,1.8836991334002637,9.729602409107292e7,2.5263978327285337e8,6.773184538146204e7,7.148677866210441e6,3.1811783415886527e6,852862.826163177,9.809286444366774e7,2.5185472670653898e8,6.752137445215522e7
16S,W3-6,6,1.9491206479929817,3.08026730335225e7,4.4123647737962626e7,1.6587837495474668e7,1.115098368800245e6,1.1934766423309774e6,448675.42944773554,3.1037910471204802e7,4.403503184636967e7,1.6554523250514913e7
ITS,S3-6,6,1.8781378800006987,5.7974457294684075e7,7.209501804468298e7,1.9012399273386862e7,1.7000112232644653e6,1.8704519725420307e6,493262.6509868224,5.771992254308745e7,7.178545651021197e7,1.893076384762974e7
ITS,W5-5,6,1.916035571665401,2.0278761566834056e8,1.598887042092786e8,5.839616662135816e7,6.013312949741516e6,4.1312336369877355e6,1.5088508535382529e6,2.0173901981896842e8,1.611260135760932e8,5.8848069238894515e7
16S,S3-6,6,1.945356869000755,1.176379116435504e8,1.684774250148898e8,4.442970068958064e7,4.950368381278735e6,5.491675568184425e6,1.4482266793735304e6,1.1840809694772413e8,1.6974097704987973e8,4.476291588868137e7
16S,W5-5,6,1.9341091075195895,5.028678674004062e7,8.255165703320119e7,3.0150349537326947e7,2.184826450391608e6,2.123910448898312e6,775716.0149372949,5.041984979998568e7,8.22320933870045e7,3.0033635276480824e7
ITS,S3-7,6,1.8833866491986588,5.460197848641663e7,6.356469352209041e7,1.739592050412983e7,3.2269093724141805e6,3.691594581928884e6,1.0102886102706302e6,5.385334122112678e7,6.270569816879706e7,1.7160836937273417e7
16S,S3-7,6,2.208635300873526,8.601688458894272e7,7.434412800944594e7,2.034595730964585e7,1.0302690192941748e7,8.273702095097317e6,2.2642862876566276e6,8.591493346795416e7,7.42675527631051e7,2.0325000756186396e7
ITS,S5-2,6,1.7983360320934458,2.520411825392425e7,9.439628814865677e7,2.7845512728217334e7,2.382469892700908e6,4.467943204996009e6,1.3179773466064923e6,2.4973329872095663e7,9.492172137406479e7,2.800050777996011e7
16S,S5-2,6,1.921192653340761,6.149913513162342e7,1.1379050943947156e8,3.3566521958546184e7,3.0635395728294565e6,2.4630048371094577e6,726550.0994423177,6.095675836484231e7,1.1324929485325952e8,3.340687163812965e7
ITS,S5-4,6,1.9044567842794238,6.287160237770069e7,5.612365513653348e7,1.6192629872052357e7,5.567225984487191e6,4.955618844197938e6,1.4297803935943274e6,6.295674487385078e7,5.619968165073931e7,1.6214564815562408e7
16S,S5-4,6,1.9922241533795806,9.015775289663811e7,8.385480037270178e7,2.419353732622671e7,1.8142380906220344e6,1.643691539650944e6,474232.98893564445,9.02295855478753e7,8.392506203203005e7,2.4213809010972314e7
